manager,rider,points
Nick,AYUSO Juan,518
Nick,VINGEGAARD Jonas,1809
Nick,VINE Jay,328
Nick,NARVÁEZ Jhonatan,359
Nick,TARLING Joshua,146
Nick,WILLIAMS Stephen,0
Nick,FORTUNATO Lorenzo,199
Nick,O'CONNOR Ben,314
Tim,PHILIPSEN Jasper,1159
Tim,KOOIJ Olav,262
Tim,MERLIER Tim,663
Tim,PEDERSEN Mads,678
Tim,STRONG Corbin,444
Tim,CHRISTEN Jan,545
Tim,BLACKMORE Joseph,0
Tim,HINDLEY Jai,502
Cameron,HEALY Ben,158
Cameron,JORGENSON Matteo,640
Cameron,PIDCOCK Thomas,957
Cameron,ONLEY Oscar,199
Cameron,ROGLIČ Primož,420
Cameron,ARENSMAN Thymen,641
Cameron,GANNA Filippo,526
Cameron,ALAPHILIPPE Julian,57
Andy,EVENEPOEL Remco,1354
Andy,BRENNAN Matthew,451
Andy,MCNULTY Brandon,298
Andy,ALMEIDA João,242
Andy,GRÉGOIRE Romain,801
Andy,MOSCHETTI Matteo,249
Andy,YATES Adam,420
Andy,UIJTDEBROEKS Cian,339
Dave,VAUQUELIN Kévin,539
Dave,CICCONE Giulio,439
Dave,GALL Felix,857
Dave,DEL TORO Isaac,1405
Dave,MARTINEZ Lenny,889
Dave,POWLESS Neilson,20
Dave,GIRMAY Biniam,563
Dave,JEANNIÈRE Emilien,278
Mike,DE LIE Arnaud,393
Mike,SKJELMOSE Mattias,701
Mike,MAGNIER Paul,735
Mike,VAN DER POEL Mathieu,1095
Mike,CARAPAZ Richard,426
Mike,NYS Thibau,39
Mike,SEIXAS Paul,1353
Mike,GEE Derek,516
Campbell,VAN AERT Wout,829
Campbell,LIPOWITZ Florian,1060
Campbell,MILAN Jonathan,559
Campbell,SCARONI Christian,766
Campbell,WRIGHT Fred,200
Campbell,PELLIZZARI Giulio,855
Campbell,STORER Michael,443
Campbell,DEL GROSSO Tibor,264
Joe,PIDCOCK Joseph,7
Joe,CRAPS Lars,56
Joe,JAKOBSEN Fabio,10
Joe,SÖDERQVIST Jakob,295
Joe,WIDAR Jarno,100
Joe,HIRSCHI Marc,99
Joe,WANG Gustav,33
Joe,POGAČAR Tadej,2431
Gemini's Hipsters,BISIAUX Léo,242
Gemini's Hipsters,NORDHAGEN Jørgen,398
Gemini's Hipsters,LAMPERTI Luke,255
Gemini's Hipsters,AUGUST Andrew,181
Gemini's Hipsters,AGOSTINACCHIO Filippo,8
Gemini's Hipsters,FINN Lorenzo,0
Gemini's Hipsters,TULETT Ben,376
Gemini's Hipsters,ABRAHAMSEN Jonas,267
